mpg;cylinders;displacement;horsepower;weight;acceleration;year;origin;name
18.0;8;3070;130.0;3504;120;70;1;chevrolet chevelle malibu
15.0;8;3500;165.0;3693;115;70;1;buick skylark 320
18.0;8;3180;150.0;3436;110;70;1;plymouth satellite
16.0;8;3040;150.0;3433;120;70;1;amc rebel sst
17.0;8;3020;140.0;3449;105;70;1;ford torino
15.0;8;4290;198.0;4341;100;70;1;ford galaxie 500
14.0;8;4540;220.0;4354;90;70;1;chevrolet impala
14.0;8;4400;215.0;4312;85;70;1;plymouth fury iii
14.0;8;4550;225.0;4425;100;70;1;pontiac catalina
15.0;8;3900;190.0;3850;85;70;1;amc ambassador dpl
NA;4;1330;115.0;3090;175;70;2;citroen ds-21 pallas
NA;8;3500;165.0;4142;115;70;1;chevrolet chevelle concours (sw)
NA;8;3510;153.0;4034;110;70;1;ford torino (sw)
NA;8;3830;175.0;4166;105;70;1;plymouth satellite (sw)
NA;8;3600;175.0;3850;110;70;1;amc rebel sst (sw)
15.0;8;3830;170.0;3563;100;70;1;dodge challenger se
14.0;8;3400;160.0;3609;80;70;1;plymouth 'cuda 340
NA;8;3020;140.0;3353;80;70;1;ford mustang boss 302
15.0;8;4000;150.0;3761;95;70;1;chevrolet monte carlo
14.0;8;4550;225.0;3086;100;70;1;buick estate wagon (sw)
24.0;4;1130;95.00;2372;150;70;3;toyota corona mark ii
22.0;6;1980;95.00;2833;155;70;1;plymouth duster
18.0;6;1990;97.00;2774;155;70;1;amc hornet
21.0;6;2000;85.00;2587;160;70;1;ford maverick
27.0;4;9700;88.00;2130;145;70;3;datsun pl510
26.0;4;9700;46.00;1835;205;70;2;volkswagen 1131 deluxe sedan
25.0;4;1100;87.00;2672;175;70;2;peugeot 504
24.0;4;1070;90.00;2430;145;70;2;audi 100 ls
25.0;4;1040;95.00;2375;175;70;2;saab 99e
26.0;4;1210;113.0;2234;125;70;2;bmw 2002
21.0;6;1990;90.00;2648;150;70;1;amc gremlin
10.0;8;3600;215.0;4615;140;70;1;ford f250
10.0;8;3070;200.0;4376;150;70;1;chevy c20
11.0;8;3180;210.0;4382;135;70;1;dodge d200
9.0;8;3040;193.0;4732;185;70;1;hi 1200d
27.0;4;9700;88.00;2130;145;71;3;datsun pl510
28.0;4;1400;90.00;2264;155;71;1;chevrolet vega 2300
25.0;4;1130;95.00;2228;140;71;3;toyota corona
25.0;4;9800;NA;2046;190;71;1;ford pinto
NA;4;9700;48.00;1978;200;71;2;volkswagen super beetle 117
19.0;6;2320;100.0;2634;130;71;1;amc gremlin
16.0;6;2250;105.0;3439;155;71;1;plymouth satellite custom
17.0;6;2500;100.0;3329;155;71;1;chevrolet chevelle malibu
19.0;6;2500;88.00;3302;155;71;1;ford torino 500
18.0;6;2320;100.0;3288;155;71;1;amc matador
14.0;8;3500;165.0;4209;120;71;1;chevrolet impala
14.0;8;4000;175.0;4464;115;71;1;pontiac catalina brougham
14.0;8;3510;153.0;4154;135;71;1;ford galaxie 500
14.0;8;3180;150.0;4096;130;71;1;plymouth fury iii
12.0;8;3830;180.0;4955;115;71;1;dodge monaco (sw)
13.0;8;4000;170.0;4746;120;71;1;ford country squire (sw)
13.0;8;4000;175.0;5140;120;71;1;pontiac safari (sw)
18.0;6;2580;110.0;2962;135;71;1;amc hornet sportabout (sw)
22.0;4;1400;72.00;2408;190;71;1;chevrolet vega (sw)
19.0;6;2500;100.0;3282;150;71;1;pontiac firebird
18.0;6;2500;88.00;3139;145;71;1;ford mustang
23.0;4;1220;86.00;2220;140;71;1;mercury capri 2000
28.0;4;1160;90.00;2123;140;71;2;opel 1900
30.0;4;7900;70.00;2074;195;71;2;peugeot 304
30.0;4;8800;76.00;2065;145;71;2;fiat 124b
31.0;4;7100;65.00;1773;190;71;3;toyota corolla 1200
35.0;4;7200;69.00;1613;180;71;3;datsun 1200
27.0;4;9700;60.00;1834;190;71;2;volkswagen model 111
26.0;4;9100;70.00;1955;205;71;1;plymouth cricket
24.0;4;1130;95.00;2278;155;72;3;toyota corona hardtop
25.0;4;9750;80.00;2126;170;72;1;dodge colt hardtop
23.0;4;9700;54.00;2254;235;72;2;volkswagen type 3
20.0;4;1400;90.00;2408;195;72;1;chevrolet vega
21.0;4;1220;86.00;2226;165;72;1;ford pinto runabout
13.0;8;3500;165.0;4274;120;72;1;chevrolet impala
14.0;8;4000;175.0;4385;120;72;1;pontiac catalina
15.0;8;3180;150.0;4135;135;72;1;plymouth fury iii
14.0;8;3510;153.0;4129;130;72;1;ford galaxie 500
17.0;8;3040;150.0;3672;115;72;1;amc ambassador sst
11.0;8;4290;208.0;4633;110;72;1;mercury marquis
13.0;8;3500;155.0;4502;135;72;1;buick lesabre custom
12.0;8;3500;160.0;4456;135;72;1;oldsmobile delta 88 royale
13.0;8;4000;190.0;4422;125;72;1;chrysler newport royal
19.0;3;7000;97.00;2330;135;72;3;mazda rx2 coupe
15.0;8;3040;150.0;3892;125;72;1;amc matador (sw)
13.0;8;3070;130.0;4098;140;72;1;chevrolet chevelle concours (sw)
13.0;8;3020;140.0;4294;160;72;1;ford gran torino (sw)
14.0;8;3180;150.0;4077;140;72;1;plymouth satellite custom (sw)
18.0;4;1210;112.0;2933;145;72;2;volvo 145e (sw)
22.0;4;1210;76.00;2511;180;72;2;volkswagen 411 (sw)
21.0;4;1200;87.00;2979;195;72;2;peugeot 504 (sw)
26.0;4;9600;69.00;2189;180;72;2;renault 12 (sw)
22.0;4;1220;86.00;2395;160;72;1;ford pinto (sw)
28.0;4;9700;92.00;2288;170;72;3;datsun 510 (sw)
23.0;4;1200;97.00;2506;145;72;3;toyouta corona mark ii (sw)
28.0;4;9800;80.00;2164;150;72;1;dodge colt (sw)
27.0;4;9700;88.00;2100;165;72;3;toyota corolla 1600 (sw)
13.0;8;3500;175.0;4100;130;73;1;buick century 350
14.0;8;3040;150.0;3672;115;73;1;amc matador
13.0;8;3500;145.0;3988;130;73;1;chevrolet malibu
14.0;8;3020;137.0;4042;145;73;1;ford gran torino
15.0;8;3180;150.0;3777;125;73;1;dodge coronet custom
12.0;8;4290;198.0;4952;115;73;1;mercury marquis brougham
13.0;8;4000;150.0;4464;120;73;1;chevrolet caprice classic
13.0;8;3510;158.0;4363;130;73;1;ford ltd
14.0;8;3180;150.0;4237;145;73;1;plymouth fury gran sedan
13.0;8;4400;215.0;4735;110;73;1;chrysler new yorker brougham
12.0;8;4550;225.0;4951;110;73;1;buick electra 225 custom
13.0;8;3600;175.0;3821;110;73;1;amc ambassador brougham
18.0;6;2250;105.0;3121;165;73;1;plymouth valiant
16.0;6;2500;100.0;3278;180;73;1;chevrolet nova custom
18.0;6;2320;100.0;2945;160;73;1;amc hornet
18.0;6;2500;88.00;3021;165;73;1;ford maverick
23.0;6;1980;95.00;2904;160;73;1;plymouth duster
26.0;4;9700;46.00;1950;210;73;2;volkswagen super beetle
11.0;8;4000;150.0;4997;140;73;1;chevrolet impala
12.0;8;4000;167.0;4906;125;73;1;ford country
13.0;8;3600;170.0;4654;130;73;1;plymouth custom suburb
12.0;8;3500;180.0;4499;125;73;1;oldsmobile vista cruiser
18.0;6;2320;100.0;2789;150;73;1;amc gremlin
20.0;4;9700;88.00;2279;190;73;3;toyota carina
21.0;4;1400;72.00;2401;195;73;1;chevrolet vega
22.0;4;1080;94.00;2379;165;73;3;datsun 610
18.0;3;7000;90.00;2124;135;73;3;maxda rx3
19.0;4;1220;85.00;2310;185;73;1;ford pinto
21.0;6;1550;107.0;2472;140;73;1;mercury capri v6
26.0;4;9800;90.00;2265;155;73;2;fiat 124 sport coupe
15.0;8;3500;145.0;4082;130;73;1;chevrolet monte carlo s
16.0;8;4000;230.0;4278;950;73;1;pontiac grand prix
29.0;4;6800;49.00;1867;195;73;2;fiat 128
24.0;4;1160;75.00;2158;155;73;2;opel manta
20.0;4;1140;91.00;2582;140;73;2;audi 100ls
19.0;4;1210;112.0;2868;155;73;2;volvo 144ea
15.0;8;3180;150.0;3399;110;73;1;dodge dart custom
24.0;4;1210;110.0;2660;140;73;2;saab 99le
20.0;6;1560;122.0;2807;135;73;3;toyota mark ii
11.0;8;3500;180.0;3664;110;73;1;oldsmobile omega
20.0;6;1980;95.00;3102;165;74;1;plymouth duster
21.0;6;2000;NA;2875;170;74;1;ford maverick
19.0;6;2320;100.0;2901;160;74;1;amc hornet
15.0;6;2500;100.0;3336;170;74;1;chevrolet nova
31.0;4;7900;67.00;1950;190;74;3;datsun b210
26.0;4;1220;80.00;2451;165;74;1;ford pinto
32.0;4;7100;65.00;1836;210;74;3;toyota corolla 1200
25.0;4;1400;75.00;2542;170;74;1;chevrolet vega
16.0;6;2500;100.0;3781;170;74;1;chevrolet chevelle malibu classic
16.0;6;2580;110.0;3632;180;74;1;amc matador
18.0;6;2250;105.0;3613;165;74;1;plymouth satellite sebring
16.0;8;3020;140.0;4141;140;74;1;ford gran torino
13.0;8;3500;150.0;4699;145;74;1;buick century luxus (sw)
14.0;8;3180;150.0;4457;135;74;1;dodge coronet custom (sw)
14.0;8;3020;140.0;4638;160;74;1;ford gran torino (sw)
14.0;8;3040;150.0;4257;155;74;1;amc matador (sw)
29.0;4;9800;83.00;2219;165;74;2;audi fox
26.0;4;7900;67.00;1963;155;74;2;volkswagen dasher
26.0;4;9700;78.00;2300;145;74;2;opel manta
31.0;4;7600;52.00;1649;165;74;3;toyota corona
32.0;4;8300;61.00;2003;190;74;3;datsun 710
28.0;4;9000;75.00;2125;145;74;1;dodge colt
24.0;4;9000;75.00;2108;155;74;2;fiat 128
26.0;4;1160;75.00;2246;140;74;2;fiat 124 tc
24.0;4;1200;97.00;2489;150;74;3;honda civic
26.0;4;1080;93.00;2391;155;74;3;subaru
31.0;4;7900;67.00;2000;160;74;2;fiat x1.9
19.0;6;2250;95.00;3264;160;75;1;plymouth valiant custom
18.0;6;2500;105.0;3459;160;75;1;chevrolet nova
15.0;6;2500;72.00;3432;210;75;1;mercury monarch
15.0;6;2500;72.00;3158;195;75;1;ford maverick
16.0;8;4000;170.0;4668;115;75;1;pontiac catalina
15.0;8;3500;145.0;4440;140;75;1;chevrolet bel air
16.0;8;3180;150.0;4498;145;75;1;plymouth grand fury
14.0;8;3510;148.0;4657;135;75;1;ford ltd
17.0;6;2310;110.0;3907;210;75;1;buick century
16.0;6;2500;105.0;3897;185;75;1;chevroelt chevelle malibu
15.0;6;2580;110.0;3730;190;75;1;amc matador
18.0;6;2250;95.00;3785;190;75;1;plymouth fury
21.0;6;2310;110.0;3039;150;75;1;buick skyhawk
20.0;8;2620;110.0;3221;135;75;1;chevrolet monza 2+2
13.0;8;3020;129.0;3169;120;75;1;ford mustang ii
29.0;4;9700;75.00;2171;160;75;3;toyota corolla
23.0;4;1400;83.00;2639;170;75;1;ford pinto
20.0;6;2320;100.0;2914;160;75;1;amc gremlin
23.0;4;1400;78.00;2592;185;75;1;pontiac astro
24.0;4;1340;96.00;2702;135;75;3;toyota corona
25.0;4;9000;71.00;2223;165;75;2;volkswagen dasher
24.0;4;1190;97.00;2545;170;75;3;datsun 710
18.0;6;1710;97.00;2984;145;75;1;ford pinto
29.0;4;9000;70.00;1937;140;75;2;volkswagen rabbit
19.0;6;2320;90.00;3211;170;75;1;amc pacer
23.0;4;1150;95.00;2694;150;75;2;audi 100ls
23.0;4;1200;88.00;2957;170;75;2;peugeot 504
22.0;4;1210;98.00;2945;145;75;2;volvo 244dl
25.0;4;1210;115.0;2671;135;75;2;saab 99le
33.0;4;9100;53.00;1795;175;75;3;honda civic cvcc
28.0;4;1070;86.00;2464;155;76;2;fiat 131
25.0;4;1160;81.00;2220;169;76;2;opel 1900
25.0;4;1400;92.00;2572;149;76;1;capri ii
26.0;4;9800;79.00;2255;177;76;1;dodge colt
27.0;4;1010;83.00;2202;153;76;2;renault 12tl
17.5;8;3050;140.0;4215;130;76;1;chevrolet chevelle malibu classic
16.0;8;3180;150.0;4190;130;76;1;dodge coronet brougham
15.5;8;3040;120.0;3962;139;76;1;amc matador
14.5;8;3510;152.0;4215;128;76;1;ford gran torino
22.0;6;2250;100.0;3233;154;76;1;plymouth valiant
22.0;6;2500;105.0;3353;145;76;1;chevrolet nova
24.0;6;2000;81.00;3012;176;76;1;ford maverick
22.5;6;2320;90.00;3085;176;76;1;amc hornet
29.0;4;8500;52.00;2035;222;76;1;chevrolet chevette
24.5;4;9800;60.00;2164;221;76;1;chevrolet woody
29.0;4;9000;70.00;1937;142;76;2;vw rabbit
33.0;4;9100;53.00;1795;174;76;3;honda civic
20.0;6;2250;100.0;3651;177;76;1;dodge aspen se
18.0;6;2500;78.00;3574;210;76;1;ford granada ghia
18.5;6;2500;110.0;3645;162;76;1;pontiac ventura sj
17.5;6;2580;95.00;3193;178;76;1;amc pacer d/l
29.5;4;9700;71.00;1825;122;76;2;volkswagen rabbit
32.0;4;8500;70.00;1990;170;76;3;datsun b-210
28.0;4;9700;75.00;2155;164;76;3;toyota corolla
26.5;4;1400;72.00;2565;136;76;1;ford pinto
20.0;4;1300;102.0;3150;157;76;2;volvo 245
13.0;8;3180;150.0;3940;132;76;1;plymouth volare premier v8
19.0;4;1200;88.00;3270;219;76;2;peugeot 504
19.0;6;1560;108.0;2930;155;76;3;toyota mark ii
16.5;6;1680;120.0;3820;167;76;2;mercedes-benz 280s
16.5;8;3500;180.0;4380;121;76;1;cadillac seville
13.0;8;3500;145.0;4055;120;76;1;chevy c10
13.0;8;3020;130.0;3870;150;76;1;ford f108
13.0;8;3180;150.0;3755;140;76;1;dodge d100
31.5;4;9800;68.00;2045;185;77;3;honda accord cvcc
30.0;4;1110;80.00;2155;148;77;1;buick opel isuzu deluxe
36.0;4;7900;58.00;1825;186;77;2;renault 5 gtl
25.5;4;1220;96.00;2300;155;77;1;plymouth arrow gs
33.5;4;8500;70.00;1945;168;77;3;datsun f-10 hatchback
17.5;8;3050;145.0;3880;125;77;1;chevrolet caprice classic
17.0;8;2600;110.0;4060;190;77;1;oldsmobile cutlass supreme
15.5;8;3180;145.0;4140;137;77;1;dodge monaco brougham
15.0;8;3020;130.0;4295;149;77;1;mercury cougar brougham
17.5;6;2500;110.0;3520;164;77;1;chevrolet concours
20.5;6;2310;105.0;3425;169;77;1;buick skylark
19.0;6;2250;100.0;3630;177;77;1;plymouth volare custom
18.5;6;2500;98.00;3525;190;77;1;ford granada
16.0;8;4000;180.0;4220;111;77;1;pontiac grand prix lj
15.5;8;3500;170.0;4165;114;77;1;chevrolet monte carlo landau
15.5;8;4000;190.0;4325;122;77;1;chrysler cordoba
16.0;8;3510;149.0;4335;145;77;1;ford thunderbird
29.0;4;9700;78.00;1940;145;77;2;volkswagen rabbit custom
24.5;4;1510;88.00;2740;160;77;1;pontiac sunbird coupe
26.0;4;9700;75.00;2265;182;77;3;toyota corolla liftback
25.5;4;1400;89.00;2755;158;77;1;ford mustang ii 2+2
30.5;4;9800;63.00;2051;170;77;1;chevrolet chevette
33.5;4;9800;83.00;2075;159;77;1;dodge colt m/m
30.0;4;9700;67.00;1985;164;77;3;subaru dl
30.5;4;9700;78.00;2190;141;77;2;volkswagen dasher
22.0;6;1460;97.00;2815;145;77;3;datsun 810
21.5;4;1210;110.0;2600;128;77;2;bmw 320i
21.5;3;8000;110.0;2720;135;77;3;mazda rx-4
43.1;4;9000;48.00;1985;215;78;2;volkswagen rabbit custom diesel
36.1;4;9800;66.00;1800;144;78;1;ford fiesta
32.8;4;7800;52.00;1985;194;78;3;mazda glc deluxe
39.4;4;8500;70.00;2070;186;78;3;datsun b210 gx
36.1;4;9100;60.00;1800;164;78;3;honda civic cvcc
19.9;8;2600;110.0;3365;155;78;1;oldsmobile cutlass salon brougham
19.4;8;3180;140.0;3735;132;78;1;dodge diplomat
20.2;8;3020;139.0;3570;128;78;1;mercury monarch ghia
19.2;6;2310;105.0;3535;192;78;1;pontiac phoenix lj
20.5;6;2000;95.00;3155;182;78;1;chevrolet malibu
20.2;6;2000;85.00;2965;158;78;1;ford fairmont (auto)
25.1;4;1400;88.00;2720;154;78;1;ford fairmont (man)
20.5;6;2250;100.0;3430;172;78;1;plymouth volare
19.4;6;2320;90.00;3210;172;78;1;amc concord
20.6;6;2310;105.0;3380;158;78;1;buick century special
20.8;6;2000;85.00;3070;167;78;1;mercury zephyr
18.6;6;2250;110.0;3620;187;78;1;dodge aspen
18.1;6;2580;120.0;3410;151;78;1;amc concord d/l
19.2;8;3050;145.0;3425;132;78;1;chevrolet monte carlo landau
17.7;6;2310;165.0;3445;134;78;1;buick regal sport coupe (turbo)
18.1;8;3020;139.0;3205;112;78;1;ford futura
17.5;8;3180;140.0;4080;137;78;1;dodge magnum xe
30.0;4;9800;68.00;2155;165;78;1;chevrolet chevette
27.5;4;1340;95.00;2560;142;78;3;toyota corona
27.2;4;1190;97.00;2300;147;78;3;datsun 510
30.9;4;1050;75.00;2230;145;78;1;dodge omni
21.1;4;1340;95.00;2515;148;78;3;toyota celica gt liftback
23.2;4;1560;105.0;2745;167;78;1;plymouth sapporo
23.8;4;1510;85.00;2855;176;78;1;oldsmobile starfire sx
23.9;4;1190;97.00;2405;149;78;3;datsun 200-sx
20.3;5;1310;103.0;2830;159;78;2;audi 5000
17.0;6;1630;125.0;3140;136;78;2;volvo 264gl
21.6;4;1210;115.0;2795;157;78;2;saab 99gle
16.2;6;1630;133.0;3410;158;78;2;peugeot 604sl
31.5;4;8900;71.00;1990;149;78;2;volkswagen scirocco
29.5;4;9800;68.00;2135;166;78;3;honda accord lx
21.5;6;2310;115.0;3245;154;79;1;pontiac lemans v6
19.8;6;2000;85.00;2990;182;79;1;mercury zephyr 6
22.3;4;1400;88.00;2890;173;79;1;ford fairmont 4
20.2;6;2320;90.00;3265;182;79;1;amc concord dl 6
20.6;6;2250;110.0;3360;166;79;1;dodge aspen 6
17.0;8;3050;130.0;3840;154;79;1;chevrolet caprice classic
17.6;8;3020;129.0;3725;134;79;1;ford ltd landau
16.5;8;3510;138.0;3955;132;79;1;mercury grand marquis
18.2;8;3180;135.0;3830;152;79;1;dodge st. regis
16.9;8;3500;155.0;4360;149;79;1;buick estate wagon (sw)
15.5;8;3510;142.0;4054;143;79;1;ford country squire (sw)
19.2;8;2670;125.0;3605;150;79;1;chevrolet malibu classic (sw)
18.5;8;3600;150.0;3940;130;79;1;chrysler lebaron town @ country (sw)
31.9;4;8900;71.00;1925;140;79;2;vw rabbit custom
34.1;4;8600;65.00;1975;152;79;3;maxda glc deluxe
35.7;4;9800;80.00;1915;144;79;1;dodge colt hatchback custom
27.4;4;1210;80.00;2670;150;79;1;amc spirit dl
25.4;5;1830;77.00;3530;201;79;2;mercedes benz 300d
23.0;8;3500;125.0;3900;174;79;1;cadillac eldorado
27.2;4;1410;71.00;3190;248;79;2;peugeot 504
23.9;8;2600;90.00;3420;222;79;1;oldsmobile cutlass salon brougham
34.2;4;1050;70.00;2200;132;79;1;plymouth horizon
34.5;4;1050;70.00;2150;149;79;1;plymouth horizon tc3
31.8;4;8500;65.00;2020;192;79;3;datsun 210
37.3;4;9100;69.00;2130;147;79;2;fiat strada custom
28.4;4;1510;90.00;2670;160;79;1;buick skylark limited
28.8;6;1730;115.0;2595;113;79;1;chevrolet citation
26.8;6;1730;115.0;2700;129;79;1;oldsmobile omega brougham
33.5;4;1510;90.00;2556;132;79;1;pontiac phoenix
41.5;4;9800;76.00;2144;147;80;2;vw rabbit
38.1;4;8900;60.00;1968;188;80;3;toyota corolla tercel
32.1;4;9800;70.00;2120;155;80;1;chevrolet chevette
37.2;4;8600;65.00;2019;164;80;3;datsun 310
28.0;4;1510;90.00;2678;165;80;1;chevrolet citation
26.4;4;1400;88.00;2870;181;80;1;ford fairmont
24.3;4;1510;90.00;3003;201;80;1;amc concord
19.1;6;2250;90.00;3381;187;80;1;dodge aspen
34.3;4;9700;78.00;2188;158;80;2;audi 4000
29.8;4;1340;90.00;2711;155;80;3;toyota corona liftback
31.3;4;1200;75.00;2542;175;80;3;mazda 626
37.0;4;1190;92.00;2434;150;80;3;datsun 510 hatchback
32.2;4;1080;75.00;2265;152;80;3;toyota corolla
46.6;4;8600;65.00;2110;179;80;3;mazda glc
27.9;4;1560;105.0;2800;144;80;1;dodge colt
40.8;4;8500;65.00;2110;192;80;3;datsun 210
44.3;4;9000;48.00;2085;217;80;2;vw rabbit c (diesel)
43.4;4;9000;48.00;2335;237;80;2;vw dasher (diesel)
36.4;5;1210;67.00;2950;199;80;2;audi 5000s (diesel)
30.0;4;1460;67.00;3250;218;80;2;mercedes-benz 240d
44.6;4;9100;67.00;1850;138;80;3;honda civic 1500 gl
40.9;4;8500;NA;1835;173;80;2;renault lecar deluxe
33.8;4;9700;67.00;2145;180;80;3;subaru dl
29.8;4;8900;62.00;1845;153;80;2;vokswagen rabbit
32.7;6;1680;132.0;2910;114;80;3;datsun 280-zx
23.7;3;7000;100.0;2420;125;80;3;mazda rx-7 gs
35.0;4;1220;88.00;2500;151;80;2;triumph tr7 coupe
23.6;4;1400;NA;2905;143;80;1;ford mustang cobra
32.4;4;1070;72.00;2290;170;80;3;honda accord
27.2;4;1350;84.00;2490;157;81;1;plymouth reliant
26.6;4;1510;84.00;2635;164;81;1;buick skylark
25.8;4;1560;92.00;2620;144;81;1;dodge aries wagon (sw)
23.5;6;1730;110.0;2725;126;81;1;chevrolet citation
30.0;4;1350;84.00;2385;129;81;1;plymouth reliant
39.1;4;7900;58.00;1755;169;81;3;toyota starlet
39.0;4;8600;64.00;1875;164;81;1;plymouth champ
35.1;4;8100;60.00;1760;161;81;3;honda civic 1300
32.3;4;9700;67.00;2065;178;81;3;subaru
37.0;4;8500;65.00;1975;194;81;3;datsun 210 mpg
37.7;4;8900;62.00;2050;173;81;3;toyota tercel
34.1;4;9100;68.00;1985;160;81;3;mazda glc 4
34.7;4;1050;63.00;2215;149;81;1;plymouth horizon 4
34.4;4;9800;65.00;2045;162;81;1;ford escort 4w
29.9;4;9800;65.00;2380;207;81;1;ford escort 2h
33.0;4;1050;74.00;2190;142;81;2;volkswagen jetta
34.5;4;1000;NA;2320;158;81;2;renault 18i
33.7;4;1070;75.00;2210;144;81;3;honda prelude
32.4;4;1080;75.00;2350;168;81;3;toyota corolla
32.9;4;1190;100.0;2615;148;81;3;datsun 200sx
31.6;4;1200;74.00;2635;183;81;3;mazda 626
28.1;4;1410;80.00;3230;204;81;2;peugeot 505s turbo diesel
NA;4;1210;110.0;2800;154;81;2;saab 900s
30.7;6;1450;76.00;3160;196;81;2;volvo diesel
25.4;6;1680;116.0;2900;126;81;3;toyota cressida
24.2;6;1460;120.0;2930;138;81;3;datsun 810 maxima
22.4;6;2310;110.0;3415;158;81;1;buick century
26.6;8;3500;105.0;3725;190;81;1;oldsmobile cutlass ls
20.2;6;2000;88.00;3060;171;81;1;ford granada gl
17.6;6;2250;85.00;3465;166;81;1;chrysler lebaron salon
28.0;4;1120;88.00;2605;196;82;1;chevrolet cavalier
27.0;4;1120;88.00;2640;186;82;1;chevrolet cavalier wagon
34.0;4;1120;88.00;2395;180;82;1;chevrolet cavalier 2-door
31.0;4;1120;85.00;2575;162;82;1;pontiac j2000 se hatchback
29.0;4;1350;84.00;2525;160;82;1;dodge aries se
27.0;4;1510;90.00;2735;180;82;1;pontiac phoenix
24.0;4;1400;92.00;2865;164;82;1;ford fairmont futura
23.0;4;1510;NA;3035;205;82;1;amc concord dl
36.0;4;1050;74.00;1980;153;82;2;volkswagen rabbit l
37.0;4;9100;68.00;2025;182;82;3;mazda glc custom l
31.0;4;9100;68.00;1970;176;82;3;mazda glc custom
38.0;4;1050;63.00;2125;147;82;1;plymouth horizon miser
36.0;4;9800;70.00;2125;173;82;1;mercury lynx l
36.0;4;1200;88.00;2160;145;82;3;nissan stanza xe
36.0;4;1070;75.00;2205;145;82;3;honda accord
34.0;4;1080;70.00;2245;169;82;3;toyota corolla
38.0;4;9100;67.00;1965;150;82;3;honda civic
32.0;4;9100;67.00;1965;157;82;3;honda civic (auto)
38.0;4;9100;67.00;1995;162;82;3;datsun 310 gx
25.0;6;1810;110.0;2945;164;82;1;buick century limited
38.0;6;2620;85.00;3015;170;82;1;oldsmobile cutlass ciera (diesel)
26.0;4;1560;92.00;2585;145;82;1;chrysler lebaron medallion
22.0;6;2320;112.0;2835;147;82;1;ford granada l
32.0;4;1440;96.00;2665;139;82;3;toyota celica gt
36.0;4;1350;84.00;2370;130;82;1;dodge charger 2.2
27.0;4;1510;90.00;2950;173;82;1;chevrolet camaro
27.0;4;1400;86.00;2790;156;82;1;ford mustang gl
44.0;4;9700;52.00;2130;246;82;2;vw pickup
32.0;4;1350;84.00;2295;116;82;1;dodge rampage
28.0;4;1200;79.00;2625;186;82;1;ford ranger
31.0;4;1190;82.00;2720;194;82;1;chevy s-10
